===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
46	Payroll	Phase II	Settings Module/System Configuration	4		45	Payroll Settings	Pay Items Set Up - Government Loans * Existing in HRM and TK (Phase 1)	Setting up of government loans and basis and schedule * Can designate/assign to different employees/employee types or group * Customizable and Unlimited number of items/types * With report generation to pdf and excel * With upload and encode facility (with template) * Fixed and one time loans * Maintains Loan amortization and balances * User specified frequency of Recurring Loans		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
47	Payroll	Phase II	Settings Module/System Configuration	4		46	Payroll Settings	Priority/Hierarchy of deductions/loans	Priority/Hierarchy of deductions/loans	setup of hierarchy * per company * setup under reference table for hierarchy * consider special scenario (ex. final pay) condition: setup of minimum take home pay * percentage * consider special scenario (final pay) * exemption **note * take home pay setup to be included in computational basis (percentage of x pay)	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
48	Payroll	Phase II	Settings Module/System Configuration	4		47	Payroll Settings	Pay Rate Within a Time Frame Set Up * Existing in HRM and TK (Phase 1)	Setting up of pay rate within a time frame (hourly rate, daily rate, weekly rate, monthly rate, flat rate, piece-rate, part timers, OJT, etc). Take note of multiple pay rates * Multiple hour rates * Can designate/assign to different employees/employee types or group * Customizable and Unlimited number of pay rates * With report generation to pdf and excel * With upload and encode facility (with template)		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
49	Payroll	Phase II	Settings Module/System Configuration	4		48	Payroll Settings	Work Days Per Year Set Up * Existing in HRM and TK (Phase 1)	Setting up of company factor days. Take note of multiple factor days * Can designate/assign to different employees/employee types or group * With report generation to pdf and excel * With upload and encode facility (with template) * Customizable and Unlimited number of items/types		P&A Admin, Client Admin	Complete	Approved	Deployed							
50	Payroll	Phase II	Settings Module/System Configuration	4		49	Payroll Settings	Multi-Currency Set Up * Existing in HRM and TK (Phase 1)	Setting up multiple currencies (Currency Code, Base Currency - PHP; Additional Currency with exchange rate - Payout Date, Payroll Process Date, etc.; Percentage Rate; Multi-Currency Rule - Payroll, Expense Claims, etc.; Remarks) * Will have currency database * Can designate/assign to different employees/employee types or group * With report generation to pdf and excel * With upload and encode facility (with template) * Customizable and unlimted entries		P&A Admin, Client Admin	In progress	Not yet started	Not yet started							
51	Payroll	Phase II	Settings Module/System Configuration	4		50	Payroll Settings	Non-tax exemption ceiling of 13th month pay & other bonuses set up	Setting up of non-tax exemption ceiling (default to 90k) * Can designate/assign to different employees/employee types or group * With report generation to pdf and excel * With upload and encode facility * Customizable and unlimted entries	* setup for 1 ceiling (absolute amount) regardless of bonuses that will require ceiling	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
52	Payroll	Phase II	Settings Module/System Configuration	4		51	Payroll Settings	De Minimis ceiling set up	Setting up of De minimis ceiling per type * Can designate/assign to different employees/employee types or group * With report generation to pdf and excel * With upload and encode facility * Customizable and unlimted entries	include as part of reference table for De Minimis	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
53	Payroll	Phase II	Settings Module/System Configuration	4		52	Payroll Settings	Gross Up set up	Setting up of Gross up computation * Can designate/assign to different employees/employee types or group * With report generation to pdf and excel * With upload and encode facility * Customizable and unlimted entries	included in computational basis, no need for separate setup	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
54	Payroll	Phase II	Settings Module/System Configuration	4		53	Payroll Settings	Take Home Pays set up	Setting up of Take home pays * Can designate/assign to different employees/employee types or group * With report generation to pdf and excel * With upload and encode facility * Customizable and unlimted entries	set up of take home pay, percentage, per client	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
55	Payroll	Phase II	Settings Module/System Configuration	4		54	Payroll Settings	Final pay set up	Setting up of Final pay * Can designate/assign to different employees/employee types or group * With report generation to pdf and excel * With upload and encode facility * Customizable and unlimted entries	* Condition for final pay to follow hierarchy of deductions (outstanding balance or MA) * special case	P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
