===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
199	Payroll	Phase II	Reports/Report Generation Module	22		198	Reports	Analytical report * Existing in HRM and TK (Phase 1)	Analytical report viewing and printing * Customizable with dropdown as to what exception type report to generate. And with option to generate all exception types in 1 report, and if to generate in total or per employee * With report generation to pdf and excel * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Not yet started	Not yet started							
200	Payroll	Phase II	Reports/Report Generation Module	22		199	Reports	Individual Overtime report with corresponding rates * Existing in HRM and TK (Phase 1)	Individual overtime report with corresponding rates viewing and printing (same fields with overtime summary. Difference is this report is per employee per period - per day, per month, etc.) * Customizable - with dropdown as to what report to generate - per employee group/from report selector * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Not yet started	Not yet started							
201	Payroll	Phase II	Reports/Report Generation Module	22	2	200	Reports	Absences unit report * Existing in HRM and TK (Phase 1)	Absences unit report viewing and printing (Period/Date of Absences Report; Employee Number; Employee Names; Daily/Hourly Rate; Number of Absences in Hours/Days; Reason, if any; Headcount; Grand Total; Report selector in detail per employee - employee group, department, etc.) * Customizable - with dropdown as to what report to generate - per employee group/from report selector and if per individual employee or all employees per period * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Approved	Deployed							
202	Payroll	Phase II	Reports/Report Generation Module	22	2	201	Reports	Tardiness unit report * Existing in HRM and TK (Phase 1)	Tardiness unit report viewing and printing (Period/Date of Tardiness Report; Employee Number; Employee Names; Daily/Hourly Rate; Number of Tardiness in Hours/Days; Reason, if any; Headcount; Grand Total; Report selector in detail per employee - employee group, department, etc.) * Customizable - with dropdown as to what report to generate - per employee group/from report selector and if per individual employee or all employees per period * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Approved	Deployed							
203	Payroll	Phase II	Reports/Report Generation Module	22	2	202	Reports	Undertime unit report * Existing in HRM and TK (Phase 1)	Undertime unit report viewing and printing (Period/Date of Undertime Report; Employee Number; Employee Names; Daily/Hourly Rate; Number of Undertime in Hours/Days; Reason, if any; Headcount; Grand Total; Report selector in detail per employee - employee group, department, etc.) * Customizable - with dropdown as to what report to generate - per employee group/from report selector and if per individual employee or all employees per period * With report generation to pdf and excel * With report selector (e.g. employee group, etc) * Can be linked directly to payroll system		P&A Admin, Client Admin	Covered in phase 1	Approved	Deployed							
204	Payroll	Phase II	Reports/Report Generation Module	22		203	Reports	Option to download the reports, or directly send to authorized contact person/s via link on the email	Option to download the reports, or directly send to authorized contact person/s via link on the email. When link is clicked, you will be redirected to a site using your own username and password. And when you download the reports, it's in zipped file with password also		P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
205	Payroll	Phase II	Reports/Report Generation Module	22		204	Reports	Reports Template Editor. Customizable reports	Based on report selector, a new template will be created and saved as additional report		P&A Admin, Client Admin	Covered in phase 1	In progress	In progress							
206	Payroll	Phase II	Reports/Report Generation Module	22		205	Reports	View Reports * Existing in HRM and TK (Phase 1)	Viewing of Reports (Report type, Report group, Date, etc). - SEE ANNEX D * Authorized user to select a particular client to view (Input client name or code and click search button. Apply filters if necessary) * With search facility * See the designated tab on the excel file for Sub Module 4		P&A Admin, Client Admin	Covered in phase 1	In progress	In progress							
207	Payroll	Phase II	Reports/Report Generation Module	22		206	Reports	Download Reports * Existing in HRM and TK (Phase 1)	Downloading/generating of Reports (Report type, Report group, Date, etc). - SEE ANNEX D * Authorized user to select a particular client to downloading/generating (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * With search facility * See the designated tab on the excel file for Sub Module 3		P&A Admin, Client Admin	Covered in phase 1	In progress	In progress							
208	Payroll	Phase II	Reports/Report Generation Module	22		207	Reports	User Defined Payroll Templates	Viewing and downloading/generating of Reports (Report type, Report group, Date, etc). * Authorized user to select a particular client to downloading/generating (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * With search facility		P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
